#,District,State,Population,Growth,Sex-Ratio,Literacy,DISTRICT
50,Malappuram,Kerala,"4,112,920",13.45%,1098,93.57,MALAPPURAM
51,Hardoi,Uttar Pradesh,"4,092,845",20.44%,868,64.57,HARDOI
52,Anantapur,Andhra Pradesh,"4,081,148",12.10%,977,63.57,ANANTAPUR
53,Raipur,Chhattisgarh,"4,063,872",34.70%,984,75.56,RAIPUR
54,Kurnool,Andhra Pradesh,"4,053,463",14.85%,988,59.97,KURNOOL
55,Mahbubnagar,Andhra Pradesh,"4,053,028",15.34%,977,55.04,MAHBUBNAGAR
56,Kheri,Uttar Pradesh,"4,021,243",25.38%,894,60.56,KHERI
57,Kancheepuram,Tamil Nadu,"3,998,252",38.95%,986,84.49,KANCHEEPURAM
58,Maldah,West Bengal,"3,988,845",21.22%,944,61.73,MALDAH
59,Saran,Bihar,"3,951,862",21.64%,954,65.96,SARAN
60,Hyderabad,Andhra Pradesh,"3,943,323",2.97%,954,83.25,HYDERABAD
61,Darbhanga,Bihar,"3,937,385",19.47%,911,56.56,DARBHANGA
62,West Godavari,Andhra Pradesh,"3,936,966",3.51%,1004,74.63,WEST GODAVARI
63,Vellore,Tamil Nadu,"3,936,331",13.20%,1007,79.17,VELLORE
64,Pashchim Champaran,Bihar,"3,935,042",29.29%,909,55.7,PASHCHIM CHAMPARAN
65,Kolhapur,Maharashtra,"3,876,001",10.01%,957,81.51,KOLHAPUR
66,Jalpaiguri,West Bengal,"3,872,846",13.87%,953,73.25,JALPAIGURI
67,Rajkot,Gujarat,"3,804,558",20.02%,927,80.96,RAJKOT
68,Sultanpur,Uttar Pradesh,"3,797,117",18.11%,983,69.27,SULTANPUR
69,Karimnagar,Andhra Pradesh,"3,776,269",8.15%,1008,64.15,KARIMNAGAR
70,Thiruvallur,Tamil Nadu,"3,728,104",35.33%,987,84.03,THIRUVALLUR
71,Aurangabad,Maharashtra,"3,701,282",27.76%,923,79.02,AURANGABAD
72,Jodhpur,Rajasthan,"3,687,165",27.74%,916,65.94,JODHPUR
73,Bijnor,Uttar Pradesh,"3,682,713",17.60%,917,68.48,BIJNOR
74,Budaun,Uttar Pradesh,"3,681,896",19.95%,871,51.29,BUDAUN
75,Varanasi,Uttar Pradesh,"3,676,841",17.15%,913,75.6,VARANASI
76,Alwar,Rajasthan,"3,674,179",22.78%,895,70.72,ALWAR
77,Aligarh,Uttar Pradesh,"3,673,889",22.78%,882,67.52,ALIGARH
78,North West Delhi,Delhi,"3,656,539",27.81%,865,84.45,NORTH WEST DELHI
79,Ghazipur,Uttar Pradesh,"3,620,268",19.18%,952,71.78,GHAZIPUR
80,Bankura,West Bengal,"3,596,674",12.65%,957,70.26,BANKURA
81,Kushinagar,Uttar Pradesh,"3,564,544",23.20%,961,65.25,KUSHINAGAR
82,Ganjam,Orissa,"3,529,031",11.66%,983,71.09,GANJAM
83,Warangal,Andhra Pradesh,"3,512,576",8.21%,997,65.11,WARANGAL
84,Birbhum,West Bengal,"3,502,404",16.15%,956,70.68,BIRBHUM
85,Bulandshahar,Uttar Pradesh,"3,499,171",20.12%,896,68.88,BULANDSHAHAR
86,Ludhiana,Punjab,"3,498,739",15.36%,873,82.2,LUDHIANA
87,Vaishali,Bihar,"3,495,021",28.57%,895,66.6,VAISHALI
88,Nalgonda,Andhra Pradesh,"3,488,809",7.41%,983,64.2,NALGONDA
89,Bahraich,Uttar Pradesh,"3,487,731",46.48%,892,49.36,BAHRAICH
90,Salem,Tamil Nadu,"3,482,056",15.44%,954,72.86,SALEM
91,Saharanpur,Uttar Pradesh,"3,466,382",19.66%,890,70.49,SAHARANPUR
92,Viluppuram,Tamil Nadu,"3,458,873",16.84%,987,71.88,VILUPPURAM
93,Coimbatore,Tamil Nadu,"3,458,045",18.56%,1000,83.98,COIMBATORE
94,Meerut,Uttar Pradesh,"3,443,689",14.89%,886,72.84,MEERUT
95,Gonda,Uttar Pradesh,"3,433,919",24.17%,921,58.71,GONDA
96,Sitamarhi,Bihar,"3,423,574",27.62%,899,52.05,SITAMARHI
97,Rae Bareli,Uttar Pradesh,"3,405,559",18.56%,943,67.25,RAE BARELI
98,Prakasam,Andhra Pradesh,"3,397,448",11.05%,981,63.08,PRAKASAM
99,Nanded,Maharashtra,"3,361,292",16.86%,943,75.45,NANDED
100,Durg,Chhattisgarh,"3,343,872",18.98%,988,79.06,DURG
101,Siwan,Bihar,"3,330,464",22.70%,988,69.45,SIWAN
102,Nagaur,Rajasthan,"3,307,743",19.20%,950,62.8,NAGAUR
103,Thiruvananthapuram,Kerala,"3,301,427",2.07%,1087,93.02,THIRUVANANTHAPURAM
104,Ernakulam,Kerala,"3,282,388",5.69%,1027,95.89,ERNAKULAM
105,Indore,Madhya Pradesh,"3,276,697",32.88%,928,80.87,INDORE
106,Purnia,Bihar,"3,264,619",28.33%,921,51.08,PURNIA
107,Barabanki,Uttar Pradesh,"3,260,699",21.96%,910,61.75,BARABANKI
108,Ballia,Uttar Pradesh,"3,239,774",17.31%,937,70.94,BALLIA
109,Pratapgarh,Uttar Pradesh,"3,209,141",17.50%,998,70.09,PRATAPGARH
110,Thrissur,Kerala,"3,121,200",4.94%,1108,95.08,THRISSUR
111,Banaskantha,Gujarat,"3,120,506",24.61%,938,65.32,BANASKANTHA
112,Unnao,Uttar Pradesh,"3,108,367",15.11%,907,66.37,UNNAO
113,Deoria,Uttar Pradesh,"3,100,946",14.31%,1017,71.13,DEORIA
114,Kozhikode,Kerala,"3,086,293",7.20%,1098,95.08,KOZHIKODE
115,Mumbai City,Maharashtra,"3,085,411",-7.57%,832,89.21,MUMBAI CITY
116,Tirunelveli,Tamil Nadu,"3,077,233",12.97%,1023,82.5,TIRUNELVELI
117,Katihar,Bihar,"3,071,029",28.35%,919,52.24,KATIHAR
118,Udaipur,Rajasthan,"3,068,420",23.69%,958,61.82,UDAIPUR
119,Madurai,Tamil Nadu,"3,038,252",17.84%,990,83.45,MADURAI
120,Bhagalpur,Bihar,"3,037,766",25.36%,880,63.14,BHAGALPUR
121,Medak,Andhra Pradesh,"3,033,288",13.60%,992,61.42,MEDAK
122,Uttar Dinajpur,West Bengal,"3,007,134",23.15%,939,59.07,UTTAR DINAJPUR
123,Shahjahanpur,Uttar Pradesh,"3,006,538",18.00%,872,59.54,SHAHJAHANPUR
124,Satara,Maharashtra,"3,003,741",6.93%,988,82.87,SATARA
125,Mysore,Karnataka,"3,001,127",13.63%,985,72.79,MYSORE
126,Begusarai,Bihar,"2,970,541",26.44%,895,63.87,BEGUSARAI
127,Sri Potti Sriramulu Nellore,Andhra Pradesh,"2,963,557",11.05%,985,68.9,SRI POTTI SRIRAMULU NELLORE
128,Rohtas,Bihar,"2,959,918",20.78%,918,73.37,ROHTAS
129,Puruliya,West Bengal,"2,930,115",15.52%,957,64.48,PURULIYA
130,Ranchi,Jharkhand,"2,914,253",23.98%,949,76.06,RANCHI
131,Amravati,Maharashtra,"2,888,445",10.79%,951,87.38,AMRAVATI
132,YSR,Andhra Pradesh,"2,882,469",10.79%,985,67.3,YSR
133,Bhavnagar,Gujarat,"2,880,365",16.63%,933,75.52,BHAVNAGAR
134,Nalanda,Bihar,"2,877,653",21.39%,922,64.43,NALANDA
135,Nagaon,Assam,"2,823,768",22.00%,962,72.37,NAGAON
136,Sangli,Maharashtra,"2,822,143",9.24%,966,81.48,SANGLI
137,Koch Bihar,West Bengal,"2,819,086",13.71%,942,74.78,KOCH BIHAR
138,Araria,Bihar,"2,811,569",30.25%,921,53.53,ARARIA
139,Palakkad,Kerala,"2,809,934",7.35%,1067,89.31,PALAKKAD
140,Khammam,Andhra Pradesh,"2,797,370",8.47%,1011,64.81,KHAMMAM
141,Yavatmal,Maharashtra,"2,772,348",12.78%,952,82.82,YAVATMAL
142,Junagadh,Gujarat,"2,743,082",12.05%,953,75.8,JUNAGADH
143,Adilabad,Andhra Pradesh,"2,741,239",10.18%,1001,61.01,ADILABAD
144,South Delhi,Delhi,"2,731,929",20.51%,862,86.57,SOUTH DELHI
145,Bhojpur,Bihar,"2,728,407",21.63%,907,70.47,BHOJPUR
146,Tiruchirappalli,Tamil Nadu,"2,722,290",12.57%,1013,83.23,TIRUCHIRAPPALLI
147,Srikakulam,Andhra Pradesh,"2,703,114",6.52%,1015,61.74,SRIKAKULAM
148,Maharajganj,Uttar Pradesh,"2,684,703",23.50%,943,62.76,MAHARAJGANJ
149,Dhanbad,Jharkhand,"2,684,487",11.99%,909,74.52,DHANBAD
150,Tumkur,Karnataka,"2,678,980",3.65%,984,75.14,TUMKUR
151,Sikar,Rajasthan,"2,677,333",17.03%,947,71.91,SIKAR
152,Bilaspur,Chhattisgarh,"2,663,629",33.29%,971,70.78,BILASPUR
153,Kollam,Kerala,"2,635,375",1.94%,1113,94.09,KOLLAM
154,Raigarh,Maharashtra,"2,634,200",19.31%,959,83.14,RAIGARH
155,Fatehpur,Uttar Pradesh,"2,632,733",14.05%,901,67.43,FATEHPUR
156,Cuttack,Orissa,"2,624,470",12.10%,940,85.5,CUTTACK
157,Cuddalore,Tamil Nadu,"2,605,914",14.02%,987,78.04,CUDDALORE
158,Barmer,Rajasthan,"2,603,751",32.52%,902,56.53,BARMER
159,Buldana,Maharashtra,"2,586,258",15.85%,934,83.4,BULDANA
160,Bid,Maharashtra,"2,585,049",19.61%,916,76.99,BID
161,Ajmer,Rajasthan,"2,583,052",18.40%,951,69.33,AJMER
162,Gulbarga,Karnataka,"2,566,326",18.01%,971,64.85,GULBARGA
163,Gopalganj,Bihar,"2,562,012",19.02%,1021,65.47,GOPALGANJ
164,Siddharth Nagar,Uttar Pradesh,"2,559,297",25.45%,976,59.25,SIDDHARTH NAGAR
165,Nizamabad,Andhra Pradesh,"2,551,335",8.77%,1040,61.25,NIZAMABAD
166,Bharatpur,Rajasthan,"2,548,462",21.29%,880,70.11,BHARATPUR
167,Mathura,Uttar Pradesh,"2,547,184",22.78%,863,70.36,MATHURA
168,West Delhi,Delhi,"2,543,243",19.46%,875,86.98,WEST DELHI
169,Aurangabad,Bihar,"2,540,073",26.18%,926,70.32,AURANGABAD
170,Kannur,Kerala,"2,523,003",4.73%,1136,95.1,KANNUR
171,Mayurbhanj,Orissa,"2,519,738",13.33%,1006,63.17,MAYURBHANJ
172,Firozabad,Uttar Pradesh,"2,498,156",21.69%,875,71.92,FIROZABAD
173,Mirzapur,Uttar Pradesh,"2,496,970",18.00%,903,68.48,MIRZAPUR
174,Amritsar,Punjab,"2,490,656",15.47%,889,76.27,AMRITSAR
175,Tiruppur,Tamil Nadu,"2,479,052",29.11%,989,78.68,TIRUPPUR
176,Faizabad,Uttar Pradesh,"2,470,996",18.29%,962,68.73,FAIZABAD
177,Tiruvannamalai,Tamil Nadu,"2,464,875",12.75%,994,74.21,TIRUVANNAMALAI
178,Basti,Uttar Pradesh,"2,464,464",18.21%,963,67.22,BASTI
179,Jabalpur,Madhya Pradesh,"2,463,289",14.51%,929,81.07,JABALPUR
180,Latur,Maharashtra,"2,454,196",17.97%,928,77.26,LATUR
181,Bellary,Karnataka,"2,452,595",20.99%,983,67.43,BELLARY
182,Giridih,Jharkhand,"2,445,474",28.41%,944,63.14,GIRIDIH
183,Sabarkantha,Gujarat,"2,428,589",16.62%,952,75.79,SABARKANTHA
184,Bhilwara,Rajasthan,"2,408,523",19.60%,973,61.37,BHILWARA
185,Thanjavur,Tamil Nadu,"2,405,890",8.56%,1035,82.64,THANJAVUR
186,Ambedkar Nagar,Uttar Pradesh,"2,397,888",18.30%,978,72.23,AMBEDKAR NAGAR
187,PanchMahal,Gujarat,"2,390,776",18.05%,949,70.99,PANCHMAHAL
188,Sagar,Madhya Pradesh,"2,378,458",17.63%,893,76.46,SAGAR
189,Bhopal,Madhya Pradesh,"2,371,061",28.62%,918,80.37,BHOPAL
190,Rewa,Madhya Pradesh,"2,365,106",19.86%,931,71.62,REWA
191,Bikaner,Rajasthan,"2,363,937",41.19%,905,65.13,BIKANER
192,Surguja,Chhattisgarh,"2,359,886",19.66%,978,60.01,SURGUJA
193,Vizianagaram,Andhra Pradesh,"2,344,474",4.23%,1019,58.89,VIZIANAGARAM
194,Rampur,Uttar Pradesh,"2,335,819",21.42%,909,53.34,RAMPUR
195,Baleshwar,Orissa,"2,320,529",14.62%,957,79.79,BALESHWAR
196,Kheda,Gujarat,"2,299,885",13.62%,940,82.65,KHEDA
197,Gurdaspur,Punjab,"2,298,323",9.26%,895,79.95,GURDASPUR
198,Purbi Singhbhum,Jharkhand,"2,293,919",15.68%,949,75.49,PURBI SINGHBHUM
199,South West Delhi,Delhi,"2,292,958",30.65%,840,88.28,SOUTH WEST DELHI
200,Erode,Tamil Nadu,"2,251,744",11.66%,993,72.58,ERODE
201,Khordha,Orissa,"2,251,673",19.94%,929,86.88,KHORDHA
202,North East Delhi,Delhi,"2,241,624",26.78%,886,83.09,NORTH EAST DELHI
203,Supaul,Bihar,"2,229,076",28.66%,929,57.67,SUPAUL
204,Satna,Madhya Pradesh,"2,228,935",19.19%,926,72.26,SATNA
205,Nawada,Bihar,"2,219,146",22.63%,939,59.76,NAWADA
206,Mau,Uttar Pradesh,"2,205,968",18.98%,979,73.09,MAU
207,Chandrapur,Maharashtra,"2,204,307",6.43%,961,80.01,CHANDRAPUR
208,Jalandhar,Punjab,"2,193,590",11.76%,915,82.48,JALANDHAR
209,Dhar,Madhya Pradesh,"2,185,793",25.60%,964,59,DHAR
210,Bijapur,Karnataka,"2,177,331",20.50%,960,67.15,BIJAPUR
211,Jamnagar,Gujarat,"2,160,119",13.44%,939,73.65,JAMNAGAR
212,Dindigul,Tamil Nadu,"2,159,775",12.31%,998,76.26,DINDIGUL
213,Balrampur,Uttar Pradesh,"2,148,665",27.72%,928,49.51,BALRAMPUR
214,Jhunjhunun,Rajasthan,"2,137,045",11.67%,950,74.13,JHUNJHUNUN
215,Alappuzha,Kerala,"2,127,789",0.88%,1100,95.72,ALAPPUZHA
216,Dohad,Gujarat,"2,127,086",29.98%,990,58.82,DOHAD
217,Sundargarh,Orissa,"2,093,437",14.35%,973,73.34,SUNDARGARH
218,Anand,Gujarat,"2,092,745",12.70%,925,84.37,ANAND
219,Kachchh,Gujarat,"2,092,371",32.16%,908,70.59,KACHCHH
220,Chhindwara,Madhya Pradesh,"2,090,922",13.07%,964,71.16,CHHINDWARA
221,Dakshina Kannada,Karnataka,"2,089,649",10.11%,1020,88.57,DAKSHINA KANNADA
222,Bokaro,Jharkhand,"2,062,330",16.01%,922,72.01,BOKARO
223,Dhule,Maharashtra,"2,050,862",20.08%,946,72.8,DHULE
224,Churu,Rajasthan,"2,039,547",6.01%,940,66.75,CHURU
225,Pali,Rajasthan,"2,037,573",11.94%,987,62.39,PALI
226,Mahesana,Gujarat,"2,035,064",10.73%,926,83.61,MAHESANA
227,Banka,Bihar,"2,034,763",26.48%,907,58.17,BANKA
228,Gwalior,Madhya Pradesh,"2,032,036",24.50%,864,76.65,GWALIOR
229,Pilibhit,Uttar Pradesh,"2,031,007",23.45%,895,61.47,PILIBHIT
230,Firozpur,Punjab,"2,029,074",16.21%,893,68.92,FIROZPUR
231,Madhepura,Bihar,"2,001,762",31.12%,911,52.25,MADHEPURA
232,Jhansi,Uttar Pradesh,"1,998,603",14.54%,890,75.05,JHANSI
233,Ujjain,Madhya Pradesh,"1,986,864",16.12%,955,72.34,UJJAIN
234,Kottayam,Kerala,"1,974,551",1.07%,1039,97.21,KOTTAYAM
235,Ganganagar,Rajasthan,"1,969,168",10.04%,887,69.64,GANGANAGAR
236,Morena,Madhya Pradesh,"1,965,970",23.44%,840,71.03,MORENA
237,Jalna,Maharashtra,"1,959,046",21.46%,937,71.52,JALNA
238,Chandauli,Uttar Pradesh,"1,952,756",18.83%,918,71.48,CHANDAULI
239,Kota,Rajasthan,"1,951,014",24.39%,911,76.56,KOTA
240,Dhubri,Assam,"1,949,258",24.44%,953,58.34,DHUBRI
241,Davanagere,Karnataka,"1,945,497",8.63%,972,75.74,DAVANAGERE
242,Virudhunagar,Tamil Nadu,"1,942,288",10.91%,1007,80.15,VIRUDHUNAGAR
243,Palamu,Jharkhand,"1,939,869",26.17%,928,63.63,PALAMU
244,Raichur,Karnataka,"1,928,812",15.51%,1000,59.56,RAICHUR
245,Sonitpur,Assam,"1,924,110",15.55%,956,67.34,SONITPUR
246,Saharsa,Bihar,"1,900,661",26.02%,906,53.2,SAHARSA
247,Patiala,Punjab,"1,895,686",19.62%,891,75.28,PATIALA
248,Haridwar,Uttarakhand,"1,890,422",30.63%,880,73.43,HARIDWAR
249,Bagalkot,Karnataka,"1,889,752",14.40%,989,68.82,BAGALKOT
250,Farrukhabad,Uttar Pradesh,"1,885,204",20.05%,874,69.04,FARRUKHABAD
251,Krishnagiri,Tamil Nadu,"1,879,809",20.41%,958,71.46,KRISHNAGIRI
252,West Nimar,Madhya Pradesh,"1,873,046",22.85%,965,62.7,WEST NIMAR
253,Kanniyakumari,Tamil Nadu,"1,870,374",11.60%,1019,91.75,KANNIYAKUMARI
254,Mainpuri,Uttar Pradesh,"1,868,529",17.02%,881,75.99,MAINPURI
255,Sonbhadra,Uttar Pradesh,"1,862,559",27.27%,918,64.03,SONBHADRA
256,Dharwad,Karnataka,"1,847,023",15.13%,971,80,DHARWAD
257,Darjiling,West Bengal,"1,846,823",14.77%,970,79.56,DARJILING
258,Jyotiba Phule Nagar,Uttar Pradesh,"1,840,221",22.76%,910,63.84,JYOTIBA PHULE NAGAR
259,Parbhani,Maharashtra,"1,836,086",20.19%,947,73.34,PARBHANI
260,Jalor,Rajasthan,"1,828,730",26.21%,952,54.86,JALOR
261,Jajapur,Orissa,"1,827,192",12.49%,973,80.13,JAJAPUR
262,Akola,Maharashtra,"1,813,906",11.27%,946,88.05,AKOLA
263,Faridabad,Haryana,"1,809,733",32.54%,873,81.7,FARIDABAD
264,Mandya,Karnataka,"1,805,769",2.38%,995,70.4,MANDYA
265,Kendujhar,Orissa,"1,801,733",15.35%,988,68.24,KENDUJHAR
266,Banda,Uttar Pradesh,"1,799,410",17.05%,863,66.67,BANDA
267,Banswara,Rajasthan,"1,797,485",26.53%,980,56.33,BANSWARA
268,Ramabai Nagar,Uttar Pradesh,"1,796,184",14.89%,865,75.78,RAMABAI NAGAR
269,Hassan,Karnataka,"1,776,421",3.18%,1010,76.07,HASSAN
270,Hanumangarh,Rajasthan,"1,774,692",16.91%,906,67.13,HANUMANGARH
271,Etah,Uttar Pradesh,"1,774,480",13.62%,873,70.81,ETAH
272,Chhattarpur,Madhya Pradesh,"1,762,375",19.51%,883,63.74,CHHATTARPUR
273,Jamui,Bihar,"1,760,405",25.85%,922,59.79,JAMUI
274,Surendranagar,Gujarat,"1,756,268",15.91%,930,72.13,SURENDRANAGAR
275,Shimoga,Karnataka,"1,752,753",6.71%,998,80.45,SHIMOGA
276,Thoothukkudi,Tamil Nadu,"1,750,176",11.32%,1023,86.16,THOOTHUKKUDI
277,Hisar,Haryana,"1,743,931",13.45%,872,72.89,HISAR
278,Cachar,Assam,"1,736,617",20.19%,959,79.34,CACHAR
279,Hazaribagh,Jharkhand,"1,734,495",20.65%,947,69.75,HAZARIBAGH
280,Namakkal,Tamil Nadu,"1,726,601",15.61%,986,74.63,NAMAKKAL
281,Shivpuri,Madhya Pradesh,"1,726,050",22.76%,877,62.55,SHIVPURI
282,West Tripura,Tripura,"1,725,739",12.57%,962,88.69,WEST TRIPURA
283,Sant Kabir Nagar,Uttar Pradesh,"1,715,183",20.77%,972,66.72,SANT KABIR NAGAR
284,East Delhi,Delhi,"1,709,346",16.79%,884,89.31,EAST DELHI
285,Buxar,Bihar,"1,706,352",21.67%,922,70.14,BUXAR
286,Valsad,Gujarat,"1,705,678",20.92%,922,78.55,VALSAD
287,Bidar,Karnataka,"1,703,300",13.37%,956,70.51,BIDAR
288,Bhind,Madhya Pradesh,"1,703,005",19.21%,837,75.26,BHIND
289,Balaghat,Madhya Pradesh,"1,701,698",13.60%,1021,77.09,BALAGHAT
290,Puri,Orissa,"1,698,730",13.05%,963,84.67,PURI
291,Dehradun,Uttarakhand,"1,696,694",32.33%,902,84.25,DEHRADUN
292,Barpeta,Assam,"1,693,622",21.43%,953,63.81,BARPETA
293,Kishanganj,Bihar,"1,690,400",30.40%,950,55.46,KISHANGANJ
294,Jalaun,Uttar Pradesh,"1,689,974",16.19%,865,73.75,JALAUN
295,Dakshin Dinajpur,West Bengal,"1,676,276",11.52%,956,72.82,DAKSHIN DINAJPUR
296,Khagaria,Bihar,"1,666,886",30.19%,886,57.92,KHAGARIA
297,Chitradurga,Karnataka,"1,659,456",9.33%,974,73.71,CHITRADURGA
298,Osmanabad,Maharashtra,"1,657,576",11.50%,924,78.44,OSMANABAD
299,Kannauj,Uttar Pradesh,"1,656,616",19.27%,879,72.7,KANNAUJ
300,Sangrur,Punjab,"1,655,169",12.35%,885,67.99,SANGRUR
301,Balangir,Orissa,"1,648,997",23.32%,987,64.72,BALANGIR
302,Udham Singh Nagar,Uttarakhand,"1,648,902",33.45%,920,73.1,UDHAM SINGH NAGAR
303,Nandurbar,Maharashtra,"1,648,295",25.66%,978,64.38,NANDURBAR
304,Gautam Buddha Nagar,Uttar Pradesh,"1,648,115",37.11%,851,80.12,GAUTAM BUDDHA NAGAR
305,Bhiwani,Haryana,"1,634,445",14.70%,886,75.21,BHIWANI
306,Dausa,Rajasthan,"1,634,409",24.09%,905,68.16,DAUSA
307,Kaimur,Bihar,"1,626,384",26.17%,920,69.34,KAIMUR
308,Janjgir Champa,Chhattisgarh,"1,619,707",22.94%,986,73.07,JANJGIR CHAMPA
309,Pudukkottai,Tamil Nadu,"1,618,345",10.88%,1015,77.19,PUDUKKOTTAI
310,Nagapattinam,Tamil Nadu,"1,616,450",8.57%,1025,83.59,NAGAPATTINAM
311,Ratnagiri,Maharashtra,"1,615,069",-4.82%,1122,82.18,RATNAGIRI
312,Kaushambi,Uttar Pradesh,"1,599,596",23.70%,908,61.28,KAUSHAMBI
313,Haveri,Karnataka,"1,597,668",11.02%,950,77.4,HAVERI
314,Hoshiarpur,Punjab,"1,586,625",7.11%,961,84.59,HOSHIARPUR
315,Etawah,Uttar Pradesh,"1,581,810",18.15%,870,78.41,ETAWAH
316,Sant Ravidas Nagar,Uttar Pradesh,"1,578,213",16.58%,955,68.97,SANT RAVIDAS NAGAR
317,Kalahandi,Orissa,"1,576,869",18.07%,1003,59.22,KALAHANDI
318,Betul,Madhya Pradesh,"1,575,362",12.92%,971,68.9,BETUL
319,Mahamaya Nagar,Uttar Pradesh,"1,564,708",17.12%,871,71.59,MAHAMAYA NAGAR
320,Dewas,Madhya Pradesh,"1,563,715",19.53%,942,69.35,DEWAS
321,Bharuch,Gujarat,"1,551,019",13.16%,925,81.51,BHARUCH
322,Rajgarh,Madhya Pradesh,"1,545,814",23.26%,956,61.21,RAJGARH
323,Chittaurgarh,Rajasthan,"1,544,338",16.08%,972,61.71,CHITTAURGARH
324,Rajnandgaon,Chhattisgarh,"1,537,133",19.79%,1015,75.96,RAJNANDGAON
325,Kolar,Karnataka,"1,536,401",10.77%,979,74.39,KOLAR
326,Jammu,Jammu and Kashmir,"1,529,958",12.74%,880,83.45,JAMMU
327,Kamrup,Assam,"1,517,542",15.69%,949,75.55,KAMRUP
328,Gurgaon,Haryana,"1,514,432",73.96%,854,84.7,GURGAON
329,Amreli,Gujarat,"1,514,190",8.63%,964,74.25,AMRELI
330,Shajapur,Madhya Pradesh,"1,512,681",17.20%,938,69.09,SHAJAPUR
